Symbol,Sequence,Price,ExchangeCode,Size,Tick,Change,DayVolume,DayTurnover,Direction,Time,RawFlags,IsETH,Scope,Date
AAPL,2849,163.18,Z,100.0,2,-2.85,489053.0,79995546.0,0,2022-05-05 13:41:18.822,0,0,1,2022-05-05
AAPL,2309,163.16,K,100.0,2,-2.8,479909.0,78567174.0,0,2022-05-05 13:41:19.048,0,0,1,2022-05-05
AAPL,3285,163.15,P,100.0,2,-2.98,718108.0,117649810.0,0,2022-05-05 13:41:19.081,0,0,1,2022-05-05
AAPL,400,163.16,H,100.0,1,-2.78,51794.0,8456010.6,0,2022-05-05 13:41:19.103,0,0,1,2022-05-05
AAPL,5508,163.195,D,1000.0,1,-2.944,2526724.0,413698010.0,0,2022-05-05 13:41:17.930,0,0,1,2022-05-05
AAPL,96870,163.16,U,100.0,2,-2.85,7041224.0,1152492420.0,0,2022-05-05 13:41:19.103,0,0,0,2022-05-05
AAPL,96883,163.17,D,104.0,2,-2.84,7042412.0,1152686280.0,0,2022-05-05 13:41:19.489,0,0,0,2022-05-05
AAPL,1349,163.16,U,100.0,2,-2.94,180737.0,29541121.0,0,2022-05-05 13:41:19.103,0,0,1,2022-05-05
AAPL,5512,163.17,D,104.0,2,-2.96,2527759.0,413866900.0,0,2022-05-05 13:41:19.489,0,0,1,2022-05-05
AAPL,930,163.21,V,100.0,1,-2.93,164332.0,26874429.0,0,2022-05-05 13:41:18.193,0,0,1,2022-05-05
AAPL,6044,163.18,Q,100.0,1,-2.83,2140345.0,350262150.0,0,2022-05-05 13:41:19.456,0,0,1,2022-05-05
AAPL,5514,163.175,D,100.0,2,-2.964,2528000.0,413906220.0,0,2022-05-05 13:41:19.718,0,0,1,2022-05-05
AAPL,96918,163.2,Z,100.0,1,-2.81,7043704.0,1152897110.0,0,2022-05-05 13:41:20.070,0,0,0,2022-05-05
AAPL,1352,163.18,U,100.0,1,-2.92,181043.0,29591052.0,0,2022-05-05 13:41:19.871,0,0,1,2022-05-05
AAPL,402,163.17,H,100.0,1,-2.77,52028.0,8494193.4,0,2022-05-05 13:41:19.897,0,0,1,2022-05-05
AAPL,2310,163.17,K,100.0,1,-2.79,480009.0,78583491.0,0,2022-05-05 13:41:19.703,0,0,1,2022-05-05
AAPL,6045,163.18,Q,100.0,1,-2.83,2140550.0,350295600.0,0,2022-05-05 13:41:19.870,0,0,1,2022-05-05
AAPL,2851,163.2,Z,100.0,1,-2.83,489253.0,80028186.0,0,2022-05-05 13:41:20.070,0,0,1,2022-05-05
AAPL,113,163.21,X,100.0,1,-2.87,22326.0,3650246.5,0,2022-05-05 13:41:05.243,0,0,1,2022-05-05
AAPL,5514,163.175,D,100.0,2,-2.964,2528127.0,413926950.0,0,2022-05-05 13:41:19.718,0,0,1,2022-05-05
AAPL,96937,163.18,U,100.0,2,-2.83,7044331.0,1152999430.0,0,2022-05-05 13:41:20.448,0,0,0,2022-05-05
AAPL,6046,163.19,Q,100.0,1,-2.82,2140650.0,350311920.0,0,2022-05-05 13:41:20.318,0,0,1,2022-05-05
AAPL,3286,163.19,P,100.0,1,-2.94,718208.0,117666129.0,0,2022-05-05 13:41:20.318,0,0,1,2022-05-05
AAPL,2853,163.19,Z,100.0,2,-2.84,489453.0,80060824.0,0,2022-05-05 13:41:20.318,0,0,1,2022-05-05
AAPL,1353,163.18,U,100.0,1,-2.92,181143.0,29607370.0,0,2022-05-05 13:41:20.448,0,0,1,2022-05-05
AAPL,5515,163.18,D,200.0,1,-2.95,2528391.0,413970030.0,0,2022-05-05 13:41:20.637,0,0,1,2022-05-05
AAPL,96943,163.18,D,200.0,2,-2.83,7044595.0,1153042510.0,0,2022-05-05 13:41:20.637,0,0,0,2022-05-05
AAPL,5520,163.23,D,100.0,2,-2.9,2534908.0,415033940.0,0,2022-05-05 13:41:21.403,0,0,1,2022-05-05
AAPL,97148,163.24,J,100.0,1,-2.77,7061366.0,1155780160.0,0,2022-05-05 13:41:21.583,0,0,0,2022-05-05
AAPL,2321,163.23,K,100.0,2,-2.73,482102.0,78925119.0,0,2022-05-05 13:41:21.403,0,0,1,2022-05-05
AAPL,3306,163.22,P,100.0,2,-2.91,720272.0,118003032.0,0,2022-05-05 13:41:21.411,0,0,1,2022-05-05
AAPL,6060,163.23,Q,100.0,1,-2.78,2142255.0,350573910.0,0,2022-05-05 13:41:21.413,0,0,1,2022-05-05
AAPL,1361,163.22,U,100.0,2,-2.88,182123.0,29767340.0,0,2022-05-05 13:41:21.412,0,0,1,2022-05-05
AAPL,2871,163.22,Z,100.0,2,-2.81,491303.0,80362800.0,0,2022-05-05 13:41:21.410,0,0,1,2022-05-05
AAPL,1243,163.24,J,100.0,1,-2.9,167649.0,27407978.0,0,2022-05-05 13:41:21.583,0,0,1,2022-05-05
AAPL,75,163.29,Y,100.0,1,-2.85,19670.0,3218276.1,0,2022-05-05 13:40:52.659,0,0,1,2022-05-05
AAPL,430,163.23,N,100.0,2,-2.71,62522.0,10216281.5,0,2022-05-05 13:41:21.403,0,0,1,2022-05-05
AAPL,933,163.23,V,100.0,1,-2.91,164832.0,26956044.0,0,2022-05-05 13:41:21.402,0,0,1,2022-05-05
AAPL,114,163.23,X,100.0,1,-2.85,22426.0,3666569.5,0,2022-05-05 13:41:21.406,0,0,1,2022-05-05
AAPL,5520,163.23,D,100.0,2,-2.9,2535032.0,415054180.0,0,2022-05-05 13:41:21.403,0,0,1,2022-05-05
AAPL,97158,163.27,J,300.0,1,-2.74,7061802.0,1155851340.0,0,2022-05-05 13:41:22.027,0,0,0,2022-05-05
AAPL,31,163.1,B,100.0,1,-2.91,6599.0,1080933.48,0,2022-05-05 13:39:46.792,0,0,1,2022-05-05
AAPL,1244,163.27,J,300.0,1,-2.87,167949.0,27456959.0,0,2022-05-05 13:41:22.027,0,0,1,2022-05-05
AAPL,2871,163.22,Z,100.0,2,-2.81,491305.0,80363126.0,0,2022-05-05 13:41:21.410,0,0,1,2022-05-05
AAPL,2322,163.28,K,300.0,1,-2.68,482402.0,78974103.0,0,2022-05-05 13:41:22.131,0,0,1,2022-05-05
AAPL,97168,163.29,D,200.0,1,-2.72,7062337.0,1155938700.0,0,2022-05-05 13:41:22.563,0,0,0,2022-05-05
AAPL,5521,163.29,D,200.0,1,-2.84,2535267.0,415092550.0,0,2022-05-05 13:41:22.563,0,0,1,2022-05-05
AAPL,6068,163.33,Q,100.0,1,-2.68,2143055.0,350704550.0,0,2022-05-05 13:41:23.062,0,0,1,2022-05-05
AAPL,1245,163.28,J,100.0,1,-2.86,168049.0,27473287.0,0,2022-05-05 13:41:22.635,0,0,1,2022-05-05
AAPL,1363,163.31,U,100.0,1,-2.79,182323.0,29799999.0,0,2022-05-05 13:41:22.923,0,0,1,2022-05-05
AAPL,97220,163.33,Q,100.0,1,-2.68,7064928.0,1156361820.0,0,2022-05-05 13:41:23.062,0,0,0,2022-05-05
AAPL,5522,163.314,D,100.0,1,-2.825,2535453.0,415122930.0,0,2022-05-05 13:41:22.959,0,0,1,2022-05-05
AAPL,2874,163.31,Z,100.0,1,-2.72,491605.0,80412117.0,0,2022-05-05 13:41:22.923,0,0,1,2022-05-05
AAPL,2323,163.3,K,600.0,1,-2.66,483052.0,79080248.0,0,2022-05-05 13:41:22.763,0,0,1,2022-05-05
